Designator,Mid X,Mid Y,Rotation,Layer
C1,145.25,-81.5,270.0,top
C10,130.25,-78.0,270.0,top
C11,130.35,-92.8,270.0,top
C12,133.15,-92.8,270.0,top
C13,127.247571,-92.4,0.0,top
C14,127.247571,-90.15,0.0,top
C2,165.8,-99.2,0.0,top
C3,150.25,-81.5,270.0,top
C4,156.25,-81.75,270.0,top
C5,147.75,-81.5,270.0,top
C6,142.75,-81.5,270.0,top
C7,142.75,-77.5,0.0,top
C8,133.25,-84.0,180.0,top
C9,124.75,-78.0,270.0,top
D1,152.07,-90.0,180.0,top
D2,156.25,-90.0,0.0,top
D3,172.339051,-102.043449,45.0,top
D4,135.75,-87.0,0.0,top
J1,88.0,-76.893085,270.0,top
J10,88.0,-106.222499,270.0,top
J11,88.0,-115.339255,270.0,top
J12,88.0,-124.456011,270.0,top
J13,192.0,-106.222499,90.0,top
J14,192.0,-97.105743,90.0,top
J15,192.0,-124.456011,90.0,top
J16,192.0,-115.339255,90.0,top
J2,88.0,-87.46,270.0,top
J3,192.0,-87.47,90.0,top
J4,191.9675,-76.393085,90.0,top
J5,115.725372,-125.0,0.0,top
J6,132.033581,-125.0,0.0,top
J7,148.341791,-125.0,0.0,top
J8,164.65,-125.0,0.0,top
J9,88.0,-97.105743,270.0,top
L1,127.75,-84.5,270.0,top
Q1,94.76,-98.5,180.0,top
Q10,185.36,-122.77925,0.0,top
Q11,185.36,-118.15425,0.0,top
Q12,185.36,-113.52925,0.0,top
Q2,94.76,-103.2,180.0,top
Q3,94.76,-108.05,180.0,top
Q4,94.95,-113.5,180.0,top
Q5,94.95,-118.3,180.0,top
Q6,94.94,-123.0,180.0,top
Q7,185.24,-108.15425,0.0,top
Q8,185.24,-103.52925,0.0,top
Q9,185.24,-98.90425,0.0,top
R1,152.0,-88.0,180.0,top
R10,127.627573,-77.203244,180.0,top
R11,115.5,-80.58,90.0,top
R12,115.5,-77.4,90.0,top
R13,120.227573,-76.373244,270.0,top
R14,121.927573,-78.073244,270.0,top
R15,120.227573,-79.773244,270.0,top
R16,153.878456,-124.2,90.0,top
R17,170.4,-124.2,90.0,top
R18,100.7,-98.5,270.0,top
R19,97.95,-98.5,90.0,top
R2,156.25,-88.0,0.0,top
R20,100.7,-103.25,270.0,top
R21,97.95,-103.25,90.0,top
R22,100.7,-108.0,270.0,top
R23,97.95,-108.0,90.0,top
R24,100.95,-113.5,270.0,top
R25,98.2,-113.5,90.0,top
R26,100.95,-118.25,270.0,top
R27,98.2,-118.25,90.0,top
R28,100.95,-123.0,270.0,top
R29,98.2,-123.0,90.0,top
R3,157.6,-100.215,270.0,top
R30,179.55,-108.22425,90.0,top
R31,182.3,-108.15425,270.0,top
R32,179.55,-103.40425,90.0,top
R33,182.3,-103.40425,270.0,top
R34,179.55,-98.97425,90.0,top
R35,182.3,-98.90425,270.0,top
R36,179.55,-122.77925,90.0,top
R37,182.3,-122.77925,270.0,top
R38,179.55,-118.12425,90.0,top
R39,182.3,-118.09925,270.0,top
R4,157.6,-103.18,270.0,top
R40,179.55,-113.52925,90.0,top
R41,182.3,-113.52925,270.0,top
R5,168.0325,-102.341667,0.0,top
R6,168.0325,-103.75,0.0,top
R8,121.34537,-124.2,90.0,top
R9,137.486912,-124.2,90.0,top
TP1,170.6,-115.8,0.0,top
TP2,163.2,-115.8,0.0,top
TP3,166.921032,-110.938497,0.0,top
TP4,173.6,-111.0,0.0,top
TP5,160.325,-111.039122,0.0,top
U1,129.15,-108.425,90.0,top
U2,162.387502,-102.958244,270.0,top
U3,137.038,-79.5,180.0,top
